ID,Nom_Service,Etat,Date_Heure,ID_Equipement
1,DNS,DOWN,2026-02-17 22:08:16,2
2,MySQL,DOWN,2026-02-17 22:08:16,2
3,DNS,DOWN,2026-02-17 22:10:27,2
4,MySQL,DOWN,2026-02-17 22:10:27,2
5,DNS,DOWN,2026-02-17 22:10:27,3
6,MySQL,UP,2026-02-17 22:10:27,3
7,DNS,DOWN,2026-02-19 21:00:59,2
8,MySQL,DOWN,2026-02-19 21:00:59,2
9,DNS,DOWN,2026-02-19 21:00:59,3
10,MySQL,UP,2026-02-19 21:00:59,3
13,DNS,DOWN,2026-02-25 09:35:18,2
14,MySQL,DOWN,2026-02-25 09:35:18,2
15,DNS,DOWN,2026-02-25 09:35:18,3
16,MySQL,UP,2026-02-25 09:35:18,3
17,Serveur (SSH),UP,2026-03-12 23:38:16,2
18,Serveur (SSH),UP,2026-03-12 23:38:16,3
19,Serveur (SSH),DOWN,2026-03-13 00:00:29,2
20,Serveur (SSH),UP,2026-03-13 00:00:30,3
21,Serveur (SSH),UP,2026-03-13 00:00:30,5
22,Serveur (SSH),DOWN,2026-03-13 00:05:37,2
23,Serveur (SSH),UP,2026-03-13 00:05:38,3
24,Serveur (SSH),UP,2026-03-13 00:05:38,5
25,Serveur (SSH),DOWN,2026-03-14 18:33:15,2
26,Serveur (SSH),UP,2026-03-14 18:33:15,3
27,Serveur (SSH),UP,2026-03-14 18:33:15,5
28,Serveur (SSH),UP,2026-03-14 18:33:16,6
29,Serveur (SSH),DOWN,2026-03-14 18:33:17,7
30,Serveur (SSH),DOWN,2026-03-14 18:33:17,8
31,Serveur (SSH),DOWN,2026-03-14 18:33:17,9
32,Serveur (SSH),UP,2026-03-14 18:33:17,10
33,Serveur (SSH),UP,2026-03-14 18:33:17,11
34,Serveur (SSH),DOWN,2026-03-14 18:37:13,2
35,Serveur (SSH),UP,2026-03-14 18:37:13,3
36,Serveur (SSH),UP,2026-03-14 18:37:13,5
37,Serveur (SSH),UP,2026-03-14 18:37:14,6
38,Serveur (SSH),DOWN,2026-03-14 18:37:15,7
39,Serveur (SSH),DOWN,2026-03-14 18:37:15,8
40,Serveur (SSH),DOWN,2026-03-14 18:37:15,9
41,Serveur (SSH),UP,2026-03-14 18:37:15,10
42,Serveur (SSH),UP,2026-03-14 18:37:16,11
43,Serveur (SSH),DOWN,2026-03-14 18:43:07,2
44,Serveur (SSH),UP,2026-03-14 18:43:07,3
45,Serveur (SSH),UP,2026-03-14 18:43:08,5
46,Serveur (SSH),UP,2026-03-14 18:43:08,6
47,Serveur (SSH),DOWN,2026-03-14 18:43:09,7
48,Serveur (SSH),DOWN,2026-03-14 18:43:09,8
49,Serveur (SSH),DOWN,2026-03-14 18:43:09,9
50,Serveur (SSH),UP,2026-03-14 18:43:09,10
51,Serveur (SSH),UP,2026-03-14 18:43:10,11
52,Serveur (SSH),DOWN,2026-03-14 19:13:30,2
53,Serveur (SSH),UP,2026-03-14 19:13:30,3
54,Serveur (SSH),UP,2026-03-14 19:13:31,5
55,Serveur (SSH),DOWN,2026-03-14 19:13:34,6
56,Serveur (SSH),DOWN,2026-03-14 19:13:34,7
57,Serveur (SSH),DOWN,2026-03-14 19:13:34,8
58,Serveur (SSH),DOWN,2026-03-14 19:13:34,9
59,Serveur (SSH),UP,2026-03-14 19:13:34,10
60,Serveur (SSH),UP,2026-03-14 19:13:35,11
61,Serveur (SSH),UP,2026-03-14 19:13:35,12
62,Serveur (SSH),DOWN,2026-03-14 19:23:02,2
63,Serveur (SSH),UP,2026-03-14 19:23:02,3
64,Serveur (SSH),UP,2026-03-14 19:23:02,5
65,Serveur (SSH),DOWN,2026-03-14 19:23:05,6
66,Serveur (SSH),DOWN,2026-03-14 19:23:05,7
67,Serveur (SSH),DOWN,2026-03-14 19:23:05,8
68,Serveur (SSH),DOWN,2026-03-14 19:23:05,9
69,Serveur (SSH),UP,2026-03-14 19:23:05,10
70,Serveur (SSH),UP,2026-03-14 19:23:06,11
71,Serveur (SSH),UP,2026-03-14 19:23:07,12
72,Serveur (SSH),DOWN,2026-03-14 19:30:49,2
73,Serveur (SSH),UP,2026-03-14 19:30:49,3
74,Serveur (SSH),UP,2026-03-14 19:30:50,5
75,Serveur (SSH),DOWN,2026-03-14 19:30:53,6
76,Serveur (SSH),DOWN,2026-03-14 19:30:53,7
77,Serveur (SSH),DOWN,2026-03-14 19:30:53,8
78,Serveur (SSH),DOWN,2026-03-14 19:30:53,9
79,Serveur (SSH),UP,2026-03-14 19:30:53,10
80,Serveur (SSH),UP,2026-03-14 19:30:54,11
81,Serveur (SSH),UP,2026-03-14 19:30:55,12
82,Serveur (SSH),DOWN,2026-03-14 19:32:28,2
83,Serveur (SSH),UP,2026-03-14 19:32:28,3
84,Serveur (SSH),UP,2026-03-14 19:32:29,5
85,Serveur (SSH),DOWN,2026-03-14 19:32:32,6
86,Serveur (SSH),DOWN,2026-03-14 19:32:32,7
87,Serveur (SSH),DOWN,2026-03-14 19:32:32,8
88,Serveur (SSH),DOWN,2026-03-14 19:32:32,9
89,Serveur (SSH),UP,2026-03-14 19:32:32,10
90,Serveur (SSH),UP,2026-03-14 19:32:33,11
91,Serveur (SSH),UP,2026-03-14 19:32:33,12
92,Serveur (SSH),DOWN,2026-03-14 19:38:15,2
93,Serveur (SSH),UP,2026-03-14 19:38:15,3
94,Serveur (SSH),UP,2026-03-14 19:38:16,5
95,Serveur (SSH),DOWN,2026-03-14 19:38:19,6
96,Serveur (SSH),DOWN,2026-03-14 19:38:19,7
97,Serveur (SSH),DOWN,2026-03-14 19:38:19,8
98,Serveur (SSH),DOWN,2026-03-14 19:38:19,9
99,Serveur (SSH),UP,2026-03-14 19:38:19,10
100,Serveur (SSH),UP,2026-03-14 19:38:20,11
101,Serveur (SSH),UP,2026-03-14 19:38:20,12
