ID,CPU_Percent,RAM_Usage_Percent,Disk_Usage_Percent,Date_Heure,uptime,ID_Equipement
1,0,44.63,4.00,2026-03-14 19:13:31,"up 1 hour, 14 minutes",3
2,4,44.79,4.00,2026-03-14 19:23:02,"up 1 hour, 24 minutes",3
3,2,36.25,1.00,2026-03-14 19:23:06,"up 1 hour, 24 minutes",10
4,2,70.87,19.00,2026-03-14 19:23:07,"up 1 hour, 28 minutes",11
5,4,44.73,4.00,2026-03-14 19:30:50,"up 1 hour, 31 minutes",3
6,2,35.78,1.00,2026-03-14 19:30:54,"up 1 hour, 32 minutes",10
7,2,70.91,19.00,2026-03-14 19:30:55,"up 1 hour, 36 minutes",11
8,0,44.73,4.00,2026-03-14 19:32:29,"up 1 hour, 33 minutes",3
9,2,35.89,1.00,2026-03-14 19:32:33,"up 1 hour, 34 minutes",10
10,0,70.90,19.00,2026-03-14 19:32:33,"up 1 hour, 38 minutes",11
11,4,50.44,4.00,2026-03-14 19:38:16,"up 1 hour, 39 minutes",3
12,2,36.73,1.00,2026-03-14 19:38:19,"up 1 hour, 40 minutes",10
13,2,70.94,19.00,2026-03-14 19:38:20,"up 1 hour, 44 minutes",11
