id,nom,ipv4,serial_number,est_actif,ssh_user,id_site,id_os,id_eol
12,DC-01,192.168.1.11,N/A,1,NTL\Administrateur,1,3,
13,DC-02,192.168.1.12,N/A,1,NTL\Administrateur,1,3,
14,DEB13-MSPR1,192.168.1.137,N/A,1,ntl_monitor,1,1,
15,Unknown-192.168.1.17,192.168.1.17,,1,ntl_monitor,1,,
16,dEB13-SERV-MC,192.168.1.180,N/A,1,ntl_monitor,1,1,
17,Unknown-192.168.1.182,192.168.1.182,,1,ntl_monitor,1,,
18,Unknown-192.168.1.183,192.168.1.183,,1,ntl_monitor,1,,
19,Unknown-192.168.1.194,192.168.1.194,,1,ntl_monitor,1,,
20,Unknown-192.168.1.254,192.168.1.254,,1,ntl_monitor,1,,
21,thunderwarmachine,192.168.1.62,Default string,1,root,1,2,
22,prox2,192.168.1.63,To be filled by O.E.M.,1,root,1,2,
23,Unknown-192.168.1.67,192.168.1.67,,1,ntl_monitor,1,,
