hostname,ip,os_name,os_version,status,eol_date
WMS-DB,192.168.10.21,Ubuntu,20.04,UNKNOWN,
WMS-APP,192.168.10.22,Ubuntu,20.04,UNKNOWN,
DC01,192.168.10.10,Windows Server 2019,2019,SUPPORTED,2029-01-09
DC02,192.168.10.11,Windows Server 2019,2019,SUPPORTED,2029-01-09
SUPER-01,192.168.10.50,Windows Server 2016,2016,SUPPORTED,2027-01-12
IPBX-VM,192.168.10.40,CentOS,7,UNKNOWN,
POSTE-QUAI-01,192.168.20.15,Windows 10,10,UNKNOWN,
POSTE-QUAI-02,192.168.20.16,Windows 7,7,UNKNOWN,
SWITCH-WH1,192.168.20.2,UNKNOWN,UNKNOWN,UNKNOWN,
NAS-LILLE,192.168.10.30,Debian,11,EOL,2024-08-14
